id,name,images,emote_type,emote_set_id,owner_id
301705604,mrchil16Hi,https://static-cdn.jtvnw.net/emoticons/v1/301705604/3.0,subscriptions,300010412,153319040
301705632,mrchil16Rip,https://static-cdn.jtvnw.net/emoticons/v1/301705632/3.0,subscriptions,300010413,153319040
302550272,mstzeraLove,https://static-cdn.jtvnw.net/emoticons/v1/302550272/3.0,subscriptions,300010414,186638532
301276264,mstzera200,https://static-cdn.jtvnw.net/emoticons/v1/301276264/3.0,subscriptions,300010414,186638532
301276262,mstzeraBomba,https://static-cdn.jtvnw.net/emoticons/v1/301276262/3.0,subscriptions,300010414,186638532
301276261,mstzera200qi,https://static-cdn.jtvnw.net/emoticons/v1/301276261/3.0,subscriptions,300010414,186638532
300983914,mstzeraGorila,https://static-cdn.jtvnw.net/emoticons/v1/300983914/3.0,subscriptions,300010414,186638532
300877516,mstzeraGgsonly,https://static-cdn.jtvnw.net/emoticons/v1/300877516/3.0,subscriptions,300010414,186638532
300663983,kognitCheer,https://static-cdn.jtvnw.net/emoticons/v1/300663983/3.0,subscriptions,300010417,81599924
300787098,kognitPOGGERS,https://static-cdn.jtvnw.net/emoticons/v1/300787098/3.0,subscriptions,300010418,81599924
304352368,ttvmad2Hello,https://static-cdn.jtvnw.net/emoticons/v1/304352368/3.0,subscriptions,300010420,144190233
304279962,ttvmad2Crylaugh,https://static-cdn.jtvnw.net/emoticons/v1/304279962/3.0,subscriptions,300010420,144190233
304279982,ttvmad2Happy,https://static-cdn.jtvnw.net/emoticons/v1/304279982/3.0,subscriptions,300010420,144190233
304304967,ttvmad2Devastation,https://static-cdn.jtvnw.net/emoticons/v1/304304967/3.0,subscriptions,300010420,144190233
304489310,ttvmad2Popgun,https://static-cdn.jtvnw.net/emoticons/v1/304489310/3.0,subscriptions,300010420,144190233
304489322,ttvmad2Banana,https://static-cdn.jtvnw.net/emoticons/v1/304489322/3.0,subscriptions,300010421,144190233
304352383,ttvmad2Pupper,https://static-cdn.jtvnw.net/emoticons/v1/304352383/3.0,subscriptions,300010422,144190233
300021799,barono3Cutechippboar,https://static-cdn.jtvnw.net/emoticons/v1/300021799/3.0,subscriptions,300010423,137164432
301015216,kenm4nDoyaaa,https://static-cdn.jtvnw.net/emoticons/v1/301015216/3.0,subscriptions,300010435,117533225
301015219,kenm4nDamedane,https://static-cdn.jtvnw.net/emoticons/v1/301015219/3.0,subscriptions,300010436,117533225
306066163,nekotw1Nice,https://static-cdn.jtvnw.net/emoticons/v1/306066163/3.0,subscriptions,300010441,132795997
305530059,pochfaDSmile,https://static-cdn.jtvnw.net/emoticons/v1/305530059/3.0,subscriptions,300010444,181147148
304868293,pochfaLoves,https://static-cdn.jtvnw.net/emoticons/v1/304868293/3.0,subscriptions,300010444,181147148
303103207,pochfaOMT,https://static-cdn.jtvnw.net/emoticons/v1/303103207/3.0,subscriptions,300010444,181147148
303088173,pochfaBatman,https://static-cdn.jtvnw.net/emoticons/v1/303088173/3.0,subscriptions,300010444,181147148
306769867,pochfaHamster,https://static-cdn.jtvnw.net/emoticons/v1/306769867/3.0,subscriptions,300010444,181147148
306769884,pochfaCrocs,https://static-cdn.jtvnw.net/emoticons/v1/306769884/3.0,subscriptions,300010445,181147148
304868729,pochfaDshellokitty,https://static-cdn.jtvnw.net/emoticons/v1/304868729/3.0,subscriptions,300010446,181147148
